product,country,price,millisSinceEpoch
butter,belgium,295,1433116800000
butter,belgium,286,1435708800000
butter,belgium,272,1438387200000
butter,belgium,282,1441065600000
butter,belgium,300,1443657600000
butter,belgium,296,1446336000000
butter,belgium,289,1448928000000
butter,belgium,281,1451606400000
butter,belgium,257,1454284800000
butter,belgium,245,1456790400000
butter,belgium,241,1459468800000
butter,belgium,261,1462060800000
butter,belgium,296,1464739200000
butter,belgium,316,1467331200000
butter,belgium,359,1470009600000
butter,belgium,397,1472688000000
butter,belgium,420,1475280000000
butter,belgium,430,1477958400000
butter,belgium,433,1480550400000
butter,belgium,423,1483228800000
butter,belgium,411,1485907200000
butter,belgium,422,1488326400000
butter,belgium,439,1491004800000
butter,belgium,484,1493596800000
butter,belgium,556,1496275200000
butter,belgium,603,1498867200000
butter,belgium,413,1551398400000
butter,belgium,425,1554076800000
butter,belgium,413,1556668800000
butter,belgium,378,1559347200000
butter,belgium,360,1561939200000
butter,belgium,345,1564617600000
butter,croatia,412,1372636800000
butter,croatia,402,1375315200000
butter,croatia,406,1377993600000
butter,croatia,420,1380585600000
butter,croatia,411,1383264000000
butter,croatia,404,1385856000000
butter,croatia,403,1388534400000
butter,croatia,403,1391212800000
butter,croatia,404,1393632000000
butter,croatia,410,1396310400000
butter,croatia,409,1398902400000
butter,croatia,417,1401580800000
butter,croatia,411,1404172800000
butter,croatia,415,1406851200000
butter,croatia,408,1409529600000
butter,croatia,416,1412121600000
butter,croatia,413,1414800000000
butter,croatia,396,1417392000000
butter,croatia,375,1420070400000
butter,croatia,396,1422748800000
butter,croatia,379,1425168000000
butter,croatia,394,1427846400000
butter,croatia,389,1430438400000
butter,croatia,389,1433116800000
butter,croatia,408,1435708800000
butter,croatia,408,1438387200000
butter,croatia,402,1441065600000
butter,croatia,413,1443657600000
butter,croatia,401,1446336000000
butter,croatia,395,1448928000000
butter,croatia,382,1451606400000
butter,croatia,392,1454284800000
butter,croatia,388,1456790400000
butter,croatia,413,1459468800000
butter,croatia,404,1462060800000
butter,croatia,405,1464739200000
butter,croatia,400,1467331200000
butter,croatia,396,1470009600000
butter,croatia,373,1472688000000
butter,croatia,394,1475280000000
butter,croatia,405,1477958400000
butter,croatia,429,1480550400000
butter,croatia,427,1483228800000
butter,croatia,430,1485907200000
butter,croatia,436,1488326400000
butter,croatia,438,1491004800000
butter,croatia,428,1493596800000
butter,croatia,433,1496275200000
